ato_normativo;codigo_curso; data;codigo
Renovação de Reconhecimento; Portaria Nº 43; de 05/02/2014;15108100
Reconhecimento; Portaria Nº 648; de 10/12/2013;13311110
Reconhecimento; Aguardando Portaria;13311150;
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;51206200;
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;41207100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21312110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21312210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13312110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13312210;
Autorizado; Aguardando Portaria;12208200;
Reconhecido; Portaria Nº 286 de 21/12/2012;21109210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51109100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51109210;
Reconhecimento; Aguardando Portaria;31340100;
",Reconhecimento,, Aguardando Portaria,,31340100,,,";;;
